name,address,lat,lon,ElecDayVotes,EarlyVotes,BallotsCast,WaitTimeHr
Stanford University Tresidder - Oak Lounge,  459 Lagunita Drive Stanford CA 94305,37.4243,-122.17084,,,,
Rinconada Library - Embarcadero Room,  1213 Newell Road Palo Alto CA 94303,37.44497,-122.13916,,,,
Palo Alto Art Center - Auditorium,  1313 Newell Road Palo Alto CA 94303,37.44408,-122.1389,,,,
Ventura Community Center - Activity Center,  3990 Ventura Court Palo Alto CA 94306,37.41811,-122.12692,,,,
Mitchell Park Community Center - Adobe Room,  3700 Middlefield Road Palo Alto CA 94303,37.42228,-122.11277,,,,
 Cubberley Community Center - Gym A,  4000 Middlefield Road Palo Alto CA 94303,37.41717,-122.10841,,,,
 The Terraces At Los Altos - Redwood Building,  373 Pine Lane Los Altos CA 94022,37.39239,-122.12134,,,,
 Town of Los Altos Hills - Council Chambers,  26379 Fremont Road Los Altos Hills CA 94022,37.38364,-122.13872,,,,
Mountain View Community Center - Redwood Hall, 201 S Rengstorff Avenue Mountain View CA 94040,37.40103,-122.09775,,,,
 Los Altos Youth Center - Multipurpose Room,  1 N San Antonio Road Los Altos CA 94022,37.38167,-122.11366,,,,
Church of Scientology Silicon Valley - Chapel,  1066 Linda Vista Avenue Mountain View CA 94043,37.40988,-122.07607,,,,
 Santiago Villa Mobile Park - Club House,  1075 Space Park Way Mountain View CA 94043,37.4166,-122.06946,,,,
 St. Timothy's Episcopal Church - Multipurpose Room,  2094 Grant Road Mountain View CA 94040,37.3726,-122.07855,,,,
 Washington Park - Multipurpose Room,  840 W Washington Avenue Sunnyvale CA 94086,37.37785,-122.03986,,,,
 Sunnyvale Middle School - Library,  1080 Mango Avenue Sunnyvale CA 94087,37.36176,-122.05306,,,,
 Columbia Middle School - Library,  739 Morse Avenue Sunnyvale CA 94085,37.39381,-122.01908,,,,
 Fair Oaks Park - Park Building, 540 N Fair Oaks Avenue Sunnyvale CA 94085,37.38513,-122.01568,,,,
 Cupertino Middle School - Library,  1650 S Bernardo Avenue Sunnyvale CA 94087,37.33946,-122.05907,,,,
