Unnamed: 0,Unnamed: 0.1,State,Locality,Precincts (Or Locality-wide),name,address,lat,lon,Is Early Voting,Is Drop Off,manual
3721,3722,CA,SACRAMENTO COUNTY,Locality wide location,Toby Johnson Middle School,"10099 Franklin High Rd, Elk Grove, CA 95757, USA",38.39097,-121.432,False,False,1
3722,3723,CA,SACRAMENTO COUNTY,Locality wide location,George Washington Carver High School,"10101 Systems Pkwy, Sacramento, CA 95827, USA",38.5649,-121.31636,False,False,1
3723,3724,CA,SACRAMENTO COUNTY,Locality wide location,Koreana Plaza,"10947 Olson Dr #402, Rancho Cordova, CA 95670, USA",38.59627,-121.28319,False,False,1
3724,3725,CA,SACRAMENTO COUNTY,Locality wide location,Herald Fire Station #87,"12746 Ivie Rd, Herald, CA 95638, USA",38.2937,-121.24068,False,False,1
3725,3726,CA,SACRAMENTO COUNTY,Locality wide location,First Step Communities,"1400 A St # A, Sacramento, CA 95811, USA",38.58897,-121.48433,False,False,1
3726,3727,CA,SACRAMENTO COUNTY,Locality wide location,Walnut Grove Library,"14177 Market St, Walnut Grove, CA 95690, USA",38.24078,-121.51402,False,False,1
3727,3728,CA,SACRAMENTO COUNTY,Locality wide location,CLARA Auditorium,"1425 24th St, Sacramento, CA 95816, USA",38.57008,-121.47661,False,False,1
3728,3729,CA,SACRAMENTO COUNTY,Locality wide location,Secretary of State Building,"1500 11th St, Sacramento, CA 95814, USA",38.57424,-121.4949,False,False,1
3729,3730,CA,SACRAMENTO COUNTY,Locality wide location,Rancho Murieta Community Services District,"15160 Jackson Rd, Sloughhouse, CA 95683, USA",38.48686,-121.08298,False,False,1
3730,3731,CA,SACRAMENTO COUNTY,Locality wide location,Isleton Community Center,"208 Jackson Blvd, Isleton, CA 95641, USA",38.16045,-121.61276,False,False,1
3731,3732,CA,SACRAMENTO COUNTY,Locality wide location,Dept of Human Assistance - Galt,"210 N Lincoln Way, Galt, CA 95632, USA",38.25733,-121.30077,False,False,1
3732,3733,CA,SACRAMENTO COUNTY,Locality wide location,Richard T. Conzelmann Community Center,"2201 Cottage Way, Sacramento, CA 95825, USA",38.60524,-121.41204,False,False,1
3733,3734,CA,SACRAMENTO COUNTY,Locality wide location,Gold River Sports Club,"2201 Gold Rush Dr, Gold River, CA 95670, USA",38.62319,-121.25988,False,False,1
3734,3735,CA,SACRAMENTO COUNTY,Locality wide location,Johnston Community Center,"231 Eleanor Ave, Sacramento, CA 95815, USA",38.61757,-121.46262,False,False,1
