name,address,lat,lon,ElecDayVotes,EarlyVotes,BallotsCast,WaitTimeHr
122nd Street Elementary School,405 E 122nd St Los Angeles CA 90061,33.92207,-118.26742,541.0,48.0,589.0,1.35
West Covina City Hall,1444 W Garvey Ave S West Covina CA 91790,34.07134,-117.93886,,,0.0,
153rd Street Elementary School,1605 W 153rd St Gardena CA 90247,33.89354,-118.30588,734.0,167.0,901.0,2.3
Jim Gilliam Senior Citizen Center,4000 S La Brea Ave Los Angeles CA 90008,34.01304,-118.3546,,36.0,36.0,2.72
186th Street Elementary School,1581 W 186th St Gardena CA 90248,33.86371,-118.30556,444.0,41.0,485.0,0.0
Hiram of Tyre Grand Lodge,5900 S Broadway Los Angeles CA 90003,33.98679,-118.27792,7.0,29.0,36.0,1.08
232nd Place Elementary School,23240 Archibald Ave Carson CA 90745,33.81447,-118.28231,667.0,114.0,781.0,1.95
Apostolic Assembly-Little Rock,10238 East Palmdale Blvd Palmdale CA 93534,34.57946,-117.94575,45.0,52.0,97.0,0.0
31st District PTSA Office,17445 Cantlay St Van Nuys CA 91406,34.20225,-118.5137,814.0,191.0,1005.0,1.4
Watts Labor Community Action Committee,5133 S Crenshaw Blvd Los Angeles CA 90043,33.99575,-118.33145,48.0,27.0,75.0,0.0
42nd Street Elementary,4231 4th Ave Los Angeles CA 90008,34.0064,-118.32177,1098.0,246.0,1344.0,2.35
Antelope Valley Church of God in Christ,37827 97th St E Littlerock CA 93543,34.56953,-117.95714,54.0,40.0,94.0,0.0
54th Street Elementary School,5501 S Eileen Ave Los Angeles CA 90043,33.99196,-118.34332,524.0,112.0,636.0,1.52
South Bay Gardens Apartments,230 E 130th St Los Angeles CA 90061,33.91406,-118.27092,66.0,53.0,119.0,0.2
A C Bilbrew Library,150 E El Segundo Blvd Los Angeles CA 90061,33.91608,-118.2723,433.0,100.0,533.0,0.58
Olive Tree Terrace Senior Apartments,721 N Azusa Ave West Covina CA 91791,34.0837,-117.90838,80.0,33.0,113.0,0.08
A C Stelle Middle School,22450 Mulholland Hwy Calabasas CA 91302,34.1425,-118.61297,1006.0,337.0,1343.0,1.42
Port of Long Beach,725 Harbor Plaza Long Beach CA 90802,33.75257,-118.19709,83.0,13.0,96.0,0.3
ACE Hotel,929 S Broadway Los Angeles CA 90015,34.04182,-118.25692,567.0,463.0,1030.0,3.1
Mt Calvary Faith Lutheran Church,2110 W Francisquito Ave West Covina CA 91790,34.05988,-117.96311,86.0,11.0,97.0,0.0
Acton Agua Dulce Library,33792 Crown Valley Rd Acton CA 93510,34.49503,-118.19742,714.0,410.0,1124.0,0.88
Westside Christian Fellowship,9306 Leona Ave Leona Valley CA 93551,34.61485,-118.29622,88.0,65.0,153.0,0.0
Affinity Real Estate & Mortgage Services,10070 Rosecrans Ave Bellflower CA 90706,33.90118,-118.11895,533.0,125.0,658.0,2.0
